seeded           unseeded 
129.6               26.1
31.4                26.3
2745.6              87
489.1               95
430                372.4
302.8                0.01
119                 17.3
4.1                 24.4
92.4                11.5
17.5               321.2
200.7               68.5
274.7               81.5
274.7               47.3
7.7                 28.6
1656               830.1
978                345.5
198.6             1202.6
703.4               36.6
1697.8               4.9
334.1                4.9
118.3               41.1
255                 29
115.3              163
242.5              244.3
32.7               147.8
40.6                21.7
