state expend bad crime lawyers employ pop
AK 360 5.1 5877 1749 2796 525
AL 498 34.4 3942 6679 13999 4083
AR 219 19.2 3585 3741 7227 2388
AZ 728 31.3 7116 7535 14755 3386
CA 6539 336.2 6518 82001 118149 27663
CO 602 25.7 6919 11174 12556 3296
CT 544 43.5 3705 11397 14798 3211
DC 435 23.3 8339 28399 7925 622
DE 130 10.6 4961 1597 3230 644
FL 2252 177.9 7574 30444 57310 12023
GA 835 129.2 5110 13652 25848 6222
HI 210 10.8 5201 2787 3886 1083
IA 368 17.7 3943 6182 9309 2834
ID 120 5.8 3908 2031 3363 998
IL 2023 113 5303 37873 57748 11582
IN 593 55.3 3914 9499 19647 5531
KS 324 23.8 4375 5555 9726 2476
KY 417 27.9 2947 7017 13480 3727
LA 785 52.7 5564 10569 21184 4461
MA 1024 37.8 4758 22154 26048 5855
MD 940 92 5373 12866 22541 4535
ME 128 6.3 3672 2528 4340 1187
MI 1788 107.2 6366 20445 36632 9200
MN 665 38.6 4134 11343 13159 4246
MO 660 44.9 4366 12439 20260 5103
MS 245 18.9 3266 4270 8463 2625
MT 123 4.9 4549 2006 3211 809
NC 821 80.2 4121 9265 24843 6413
ND 75 2.4 2679 1290 1997 672
NE 206 13.7 3695 4289 5820 1594
NH 140 4.8 3252 2139 4034 1057
NJ 1592 79.2 5094 23301 49346 7672
NM 296 8.9 6486 3164 7413 1500
NV 256 11.4 6575 2276 5528 1007
NY 5220 176.7 5589 72575 111518 17825
OH 1617 96 4187 27191 38404 10784
OK 432 32.4 5425 8302 13167 3272
OR 463 31.2 6730 7385 9858 2724
PA 1796 101.9 3037 27798 46200 11936
RI 164 9.2 4723 2527 3774 986
SC 427 34.5 4841 5021 13177 3425
SD 79 3.9 2641 1230 2396 709
TN 568 45.2 4167 8782 18190 4855
TX 2313 370.1 6569 39028 65488 16789
UT 244 10 5317 3446 5715 1680
VA 914 40.5 3779 13390 25720 5904
VT 74 6.2 3888 1372 1969 548
WA 838 60.7 6529 11507 17020 4538
WI 863 36.6 4017 10316 19911 4807
WV 168 7.2 2253 2835 5079 1897
WY 115 3.1 4015 1116 2558 490
